Location,Ant_ID,Ant_ID_(partner),start_un,end.un,start_time,end_time
1,657,797,0,54,0,54
1,797,657,0,54,0,54
1,419,723,5,81,5,81
1,723,419,5,81,5,81
1,q,761,13,27,13,27
1,761,q,13,27,13,27
1,424,693,22,124,22,124
1,693,424,22,124,22,124
1,397,418,28,33,28,33
1,418,397,28,33,28,33
1,727,397,44,159,44,159
1,397,727,44,159,44,159
1,448,688,47,59,47,59
1,688,448,47,59,47,59
1,448,688,74,98,74,98
1,688,448,74,98,74,98
1,692,q,85,105,85,105
1,q,692,85,105,85,105
1,418,419,90,106,90,106
1,419,418,90,106,90,106
1,692,q,130,143,130,143
1,q,692,130,143,130,143
1,761,723,139,142,139,142
1,723,761,139,142,139,142
1,532,761,151,157,151,157
1,761,532,151,157,151,157
1,448,494,159,169,159,169
1,494,448,159,169,159,169
1,532,726,168,179,168,179
1,726,532,168,179,168,179
1,723,727,175,220,175,220
1,727,723,175,220,175,220
1,418,489,178,184,178,184
1,489,418,178,184,178,184
1,726,q,235,250,235,250
1,q,726,235,250,235,250
1,693,727,243,281,243,281
1,727,693,243,281,243,281
1,419,600,316,364,316,364
1,600,419,316,364,316,364
1,449,q,329,347,329,347
1,q,449,329,347,329,347
1,494,723,340,380,340,380
1,723,494,340,380,340,380
1,419,600,387,440,387,440
1,600,419,387,440,387,440
1,692,q,425,435,425,435
1,q,692,425,435,425,435
1,489,727,442,459,442,459
1,727,489,442,459,442,459
1,693,726,534,540,534,540
1,726,693,534,540,534,540
1,600,761,549,563,549,563
1,761,600,549,563,549,563
1,692,q,552,564,552,564
1,q,692,552,564,552,564
1,449,637,592,596,592,596
1,637,449,592,596,592,596
1,726,q,813,826,813,826
1,q,726,813,826,813,826
1,723,765,1006,1015,1006,1015
1,765,723,1006,1015,1006,1015
1,458,765,1047,1078,1047,1078
1,765,458,1047,1078,1047,1078
1,458,529,1138,1420,1138,1420
1,529,458,1138,1420,1138,1420
1,657,661,1212,1304,1212,1304
1,661,657,1212,1304,1212,1304
1,723,726,1270,1449,1270,1449
1,726,723,1270,1449,1270,1449
1,418,532,1346,1351,1346,1351
1,532,418,1346,1351,1346,1351
1,532,727,1564,1739,1564,1739
1,727,532,1564,1739,1564,1739
1,532,722,1807,1843,1807,1843
1,722,532,1807,1843,1807,1843
1,594,754,1820,1863,1820,1863
1,754,594,1820,1863,1820,1863
1,448,754,1909,2028,1909,2028
1,754,448,1909,2028,1909,2028
1,448,754,2044,2121,2044,2121
1,754,448,2044,2121,2044,2121
1,594,726,2147,2221,2147,2221
1,726,594,2147,2221,2147,2221
1,529,594,2239,2249,2239,2249
1,594,529,2239,2249,2239,2249
1,594,661,2256,2266,2256,2266
1,661,594,2256,2266,2256,2266
1,661,726,2278,2285,2278,2285
1,726,661,2278,2285,2278,2285
1,529,797,2299,2323,2299,2323
1,797,529,2299,2323,2299,2323
1,458,661,2301,2311,2301,2311
1,661,458,2301,2311,2301,2311
1,529,797,2325,2345,2325,2345
1,797,529,2325,2345,2325,2345
1,418,754,2338,2346,2338,2346
1,754,418,2338,2346,2338,2346
1,532,543,2354,2424,2354,2424
1,543,532,2354,2424,2354,2424
1,692,q,2356,2370,2356,2370
1,q,692,2356,2370,2356,2370
1,529,765,2394,2400,2394,2400
1,765,529,2394,2400,2394,2400
1,494,529,2417,2426,2417,2426
1,529,494,2417,2426,2417,2426
1,494,529,2435,2454,2435,2454
1,529,494,2435,2454,2435,2454
1,494,661,2462,2470,2462,2470
1,661,494,2462,2470,2462,2470
1,489,543,2468,2563,2468,2563
1,543,489,2468,2563,2468,2563
1,494,529,2504,2515,2504,2515
1,529,494,2504,2515,2504,2515
1,419,494,2540,2719,2540,2719
1,494,419,2540,2719,2540,2719
1,418,661,2726,2732,2726,2732
1,661,418,2726,2732,2726,2732
1,419,494,2744,2820,2744,2820
1,494,419,2744,2820,2744,2820
1,418,661,2747,2779,2747,2779
1,661,418,2747,2779,2747,2779
1,661,418,2789,2797,2789,2797
1,418,661,2789,2797,2789,2797
1,418,494,2848,2988,2848,2988
1,494,418,2848,2988,2848,2988
1,543,693,2888,2954,2888,2954
1,693,543,2888,2954,2888,2954
1,494,661,3009,3020,3009,3020
1,661,494,3009,3020,3009,3020
1,688,797,3047,3306,3047,3306
1,797,688,3047,3306,3047,3306
1,428,529,3076,3272,3076,3272
1,529,428,3076,3272,3076,3272
1,723,600,3083,3089,3083,3089
1,600,723,3083,3089,3083,3089
1,494,692,3113,3217,3113,3217
1,692,494,3113,3217,3113,3217
1,489,693,3157,3231,3157,3231
1,693,489,3157,3231,3157,3231
1,692,637,3265,3472,3265,3472
1,637,692,3265,3472,3265,3472
1,661,765,3275,3281,3275,3281
1,765,661,3275,3281,3275,3281
1,657,q,3351,3361,3351,3361
1,q,657,3351,3361,3351,3361
1,688,661,3480,3577,3480,3577
1,661,688,3480,3577,3480,3577
1,494,489,3526,3530,3526,3530
1,489,494,3526,3530,3526,3530
1,489,722,3564,3648,3564,3648
1,722,489,3564,3648,3564,3648
1,797,594,3572,3720,3572,3720
1,594,797,3572,3720,3572,3720
1,688,661,3579,3624,3579,3624
1,661,688,3579,3624,3579,3624
1,657,494,3582,3588,3582,3588
1,494,657,3582,3588,3582,3588
1,418,494,3627,3630,3627,3630
1,494,418,3627,3630,3627,3630
1,657,q,3643,3662,3643,3662
1,q,657,3643,3662,3643,3662
1,481,494,3676,3685,3676,3685
1,494,481,3676,3685,3676,3685
1,594,494,3723,3745,3723,3745
1,494,594,3723,3745,3723,3745
1,449,q,3739,3754,3739,3754
1,q,449,3739,3754,3739,3754
1,688,594,3768,3780,3768,3780
1,594,688,3768,3780,3768,3780
1,797,424,3788,3805,3788,3805
1,424,797,3788,3805,3788,3805
1,761,765,3940,3990,3940,3990
1,765,761,3940,3990,3940,3990
1,797,494,4382,4393,4382,4393
1,494,797,4382,4393,4382,4393
1,797,494,4399,4402,4399,4402
1,494,797,4399,4402,4399,4402
1,797,643,4447,4453,4447,4453
1,643,797,4447,4453,4447,4453
1,797,494,4499,4514,4499,4514
1,494,797,4499,4514,4499,4514
