Location,Ant_ID,Ant_ID_(partner),start_time,end_time
1,564,722,29,40
1,722,564,29,40
1,723,822,30,47
1,822,723,30,47
1,418,755,78,146
1,755,418,78,146
1,418,480,163,489
1,480,418,163,489
1,419,822,217,224
1,822,419,217,224
1,419,822,244,263
1,822,419,244,263
1,723,822,277,340
1,822,723,277,340
1,726,754,297,498
1,754,726,297,498
1,539,693,303,315
1,693,539,303,315
1,539,755,329,385
1,755,539,329,385
1,723,822,342,395
1,822,723,342,395
1,539,693,389,591
1,693,539,389,591
1,419,723,432,515
1,723,419,432,515
1,726,754,504,594
1,754,726,504,594
1,418,480,542,744
1,480,418,542,744
1,726,754,604,647
1,754,726,604,647
1,693,726,668,694
1,726,693,668,694
1,754,787,688,732
1,787,754,688,732
1,693,726,719,731
1,726,693,719,731
1,732,823,725,1026
1,823,732,725,1026
1,787,754,740,748
1,754,787,740,748
1,693,726,743,747
1,726,693,743,747
1,494,693,756,806
1,693,494,756,806
1,661,Queen,767,826
1,Queen,661,767,826
1,703,458,795,880
1,458,703,795,880
1,693,726,822,967
1,726,693,822,967
1,564,529,836,1159
1,529,564,836,1159
1,491,666,869,882
1,666,491,869,882
1,533,666,905,990
1,666,533,905,990
1,494,Queen,938,948
1,Queen,494,938,948
1,664,Queen,962,974
1,Queen,664,962,974
1,693,726,977,1126
1,726,693,977,1126
1,494,Queen,1007,1036
1,Queen,494,1007,1036
1,755,818,1017,1019
1,818,755,1017,1019
1,755,818,1020,1048
1,818,755,1020,1048
1,761,564,1029,1037
1,761,529,1029,1037
1,564,761,1029,1037
1,529,761,1029,1037
1,761,564,1044,1049
1,761,529,1044,1049
1,564,761,1044,1049
1,529,761,1044,1049
1,480,755,1068,1100
1,755,480,1068,1100
1,795,722,1072,1087
1,722,795,1072,1087
1,795,729,1099,1114
1,729,795,1099,1114
1,491,666,1181,1222
1,666,491,1181,1222
1,693,418,1192,1287
1,418,693,1192,1287
1,722,666,1234,1280
1,666,722,1234,1280
1,722,666,1288,1296
1,666,722,1288,1296
1,564,666,1302,1311
1,666,564,1302,1311
1,491,594,1328,1333
1,594,491,1328,1333
1,481,564,1405,1450
1,564,481,1405,1450
1,795,481,1493,1498
1,481,795,1493,1498
1,723,693,1498,1608
1,693,723,1498,1608
1,491,594,1509,1674
1,594,491,1509,1674
1,481,564,1512,1561
1,564,481,1512,1561
1,818,822,1537,1640
1,822,818,1537,1640
1,528,631,1605,1611
1,631,528,1605,1611
1,787,418,1621,1731
1,418,787,1621,1731
1,723,693,1630,1636
1,693,723,1630,1636
1,491,481,1734,1851
1,481,491,1734,1851
1,787,418,1740,1801
1,418,787,1740,1801
1,564,664,1757,1762
1,664,564,1757,1762
1,754,424,1769,1772
1,424,754,1769,1772
1,754,424,1773,2093
1,424,754,1773,2093
1,533,539,1787,1904
1,539,533,1787,1904
1,723,787,1830,1996
1,787,723,1830,1996
1,491,481,1859,1874
1,481,491,1859,1874
1,481,564,1957,1960
1,564,481,1957,1960
1,481,539,1964,1976
1,539,481,1964,1976
1,732,823,1967,2009
1,823,732,1967,2009
1,Queen,693,2036,2050
1,693,Queen,2036,2050
1,481,480,2049,2114
1,480,481,2049,2114
1,Queen,755,2052,2055
1,755,Queen,2052,2055
1,448,788,2060,2089
1,788,448,2060,2089
1,723,787,2065,2268
1,787,723,2065,2268
1,533,732,2126,2135
1,732,533,2126,2135
1,448,481,2140,2152
1,481,448,2140,2152
1,529,761,2142,2196
1,761,529,2142,2196
1,754,424,2155,2230
1,424,754,2155,2230
1,795,458,2172,2184
1,458,795,2172,2184
1,795,481,2197,2208
1,481,795,2197,2208
1,407,480,2213,2230
1,480,407,2213,2230
1,795,481,2224,2280
1,481,795,2224,2280
1,754,424,2236,2250
1,424,754,2236,2250
1,795,458,2288,2295
1,458,795,2288,2295
1,787,723,2292,2434
1,723,787,2292,2434
1,754,571,2319,2506
1,571,754,2319,2506
1,407,727,2343,2531
1,727,407,2343,2531
1,564,529,2376,2380
1,529,564,2376,2380
1,823,693,2386,2496
1,693,823,2386,2496
1,564,692,2406,2415
1,692,564,2406,2415
1,491,481,2411,2418
1,481,491,2411,2418
1,428,692,2435,2779
1,692,428,2435,2779
1,449,481,2439,2442
1,481,449,2439,2442
1,787,723,2439,2459
1,723,787,2439,2459
1,823,755,2544,2558
1,755,823,2544,2558
1,788,528,2567,2572
1,528,788,2567,2572
1,564,528,2652,2655
1,528,564,2652,2655
1,528,666,2761,2778
1,666,528,2761,2778
1,407,428,2780,2828
1,428,407,2780,2828
1,528,666,2785,2818
1,666,528,2785,2818
1,564,481,2795,2798
1,481,564,2795,2798
1,723,571,2803,3046
1,571,723,2803,3046
1,491,666,2831,2838
1,666,491,2831,2838
1,627,692,2837,2933
1,692,627,2837,2933
1,528,666,2872,2904
1,666,528,2872,2904
1,428,462,2898,2994
1,462,428,2898,2994
1,407,666,2934,2993
1,666,407,2934,2993
1,627,692,2946,3032
1,692,627,2946,3032
1,727,481,2951,3223
1,481,727,2951,3223
1,726,418,2951,2963
1,418,726,2951,2963
1,407,666,3001,3014
1,666,407,3001,3014
1,726,755,3012,3025
1,755,726,3012,3025
1,726,787,3067,3092
1,787,726,3067,3092
1,726,787,3112,3183
1,787,726,3112,3183
1,564,627,3116,3183
1,627,564,3116,3183
1,462,692,3256,3472
1,692,462,3256,3472
1,458,528,3266,3354
1,528,458,3266,3354
1,564,787,3317,3325
1,787,564,3317,3325
1,407,481,3351,3357
1,481,407,3351,3357
1,528,646,3455,3463
1,646,528,3455,3463
1,692,793,3503,3687
1,793,692,3503,3687
1,646,729,3533,3614
1,729,646,3533,3614
1,481,727,3566,3586
1,727,481,3566,3586
1,428,727,3614,3863
1,727,428,3614,3863
1,561,564,3656,3739
1,564,561,3656,3739
1,571,755,3737,3761
1,755,571,3737,3761
1,561,564,3743,3749
1,564,561,3743,3749
1,481,729,3763,3832
1,729,481,3763,3832
1,418,723,3816,3844
1,723,418,3816,3844
1,481,729,3875,3897
1,729,481,3875,3897
1,428,692,3936,3940
1,692,428,3936,3940
1,407,727,3963,4181
1,727,407,3963,4181
1,723,755,3965,3968
1,755,723,3965,3968
1,428,788,3998,4051
1,788,428,3998,4051
1,661,729,4029,4116
1,729,661,4029,4116
1,428,627,4097,4106
1,627,428,4097,4106
1,823,Queen,4126,4150
1,Queen,823,4126,4150
1,489,494,4136,4206
1,494,489,4136,4206
1,489,494,4214,4244
1,494,489,4214,4244
1,571,631,4120,4270
1,631,571,4120,4270
1,666,764,4229,4251
1,764,666,4229,4251
1,666,729,4253,4304
1,729,666,4253,4304
1,666,764,4310,4348
1,764,666,4310,4348
1,449,729,4338,4345
1,729,449,4338,4345
1,449,729,4357,4382
1,729,449,4357,4382
1,Queen,823,4379,4418
1,823,Queen,4379,4418
1,595,729,4430,4442
1,729,595,4430,4442
1,594,595,4462,4486
1,595,594,4462,4486
1,494,561,4489,4538
1,561,494,4489,4538
1,656,646,4517,4531
1,646,656,4517,4531
1,543,481,4519,4521
1,481,543,4519,4521
1,463,428,4536,4772
1,428,463,4536,4772
1,727,480,4546,4676
1,480,727,4546,4676
1,560,543,4557,4677
1,543,560,4557,4677
1,729,539,4578,4675
1,539,729,4578,4675
1,656,722,4614,4666
1,722,656,4614,4666
1,489,561,4695,4716
1,561,489,4695,4716
1,646,481,4699,4716
1,481,646,4699,4716
1,Queen,823,4708,4725
1,823,Queen,4708,4725
1,489,494,4724,4733
1,494,489,4724,4733
1,646,481,4733,4797
1,481,646,4733,4797
1,489,561,4735,4741
1,561,489,4735,4741
1,489,494,4774,4786
1,494,489,4774,4786
1,463,428,4778,4812
1,428,463,4778,4812
1,491,560,4811,4849
1,560,491,4811,4849
1,543,656,4816,4857
1,656,543,4816,4857
1,722,481,4887,4901
1,481,722,4887,4901
1,732,661,4888,4921
1,661,732,4888,4921
1,764,449,4929,4952
1,449,764,4929,4952
1,646,560,4938,4983
1,560,646,4938,4983
1,764,688,4954,5196
1,688,764,4954,5196
1,646,560,5004,5012
1,560,646,5004,5012
1,646,729,5017,5032
1,729,646,5017,5032
1,564,787,5029,5046
1,787,564,5029,5046
1,755,494,5041,5130
1,494,755,5041,5130
1,481,636,5068,5074
1,636,481,5068,5074
1,729,448,5134,5167
1,448,729,5134,5167
1,481,765,5148,5160
1,765,481,5148,5160
1,448,543,5178,5335
1,543,448,5178,5335
1,594,729,5197,5207
1,729,594,5197,5207
1,494,664,5205,5321
1,664,494,5205,5321
1,594,560,5220,5229
1,560,594,5220,5229
1,722,424,5239,5245
1,424,722,5239,5245
1,397,594,5241,5243
1,594,397,5241,5243
1,491,594,5596,5607
1,491,543,5708,5782
1,594,491,5596,5607
1,594,703,5768,5776
1,729,755,5530,5602
1,729,636,5606,5612
1,729,636,5613,5620
1,729,722,5735,5777
1,729,481,5827,5841
1,729,481,5913,5926
1,656,703,5878,5888
1,543,631,5434,5436
1,543,703,5455,5465
1,543,491,5708,5782
1,448,542,5472,5756
1,458,666,5738,5848
1,688,703,5412,5420
1,688,666,5863,5885
1,542,448,5472,5756
1,661,722,5474,5478
1,636,755,5313,5437
1,636,729,5606,5612
1,636,729,5613,5620
1,636,755,5689,5700
1,636,755,6070,6085
1,636,494,6193,6272
1,722,661,5474,5478
1,722,729,5735,5777
1,755,636,5313,5437
1,755,729,5530,5602
1,755,636,5689,5700
1,755,489,5969,6058
1,755,636,6070,6085
1,755,561,6146,6192
1,755,561,6207,6225
1,755,489,6325,6428
1,494,664,5323,5329
1,494,636,6193,6272
1,664,494,5323,5329
1,Queen,637,5319,5352
1,637,Queen,5319,5352
1,489,755,5969,6058
1,489,755,6325,6428
1,765,481,6100,6110
1,564,723,6026,6244
1,564,723,6283,6291
1,723,564,6026,6244
1,723,564,6283,6291
1,561,755,6146,6192
1,561,755,6207,6225
1,481,729,5827,5841
1,481,729,5913,5926
1,481,765,6100,6110
1,703,688,5412,5420
1,703,543,5455,5465
1,703,594,5768,5776
1,703,656,5878,5888
1,631,543,5434,5436
1,666,458,5738,5848
1,666,688,5863,5885
1,564,729,6343,6352
1,729,564,6343,6352
1,564,729,6355,6360
1,729,564,6355,6360
1,494,636,6378,6468
1,636,494,6378,6468
1,528,656,6478,6486
1,656,528,6478,6486
1,636,494,6768,6803
1,494,636,6768,6803
1,636,494,6812,6953
